ID,S_Month,Days,T_Cost,O_Cost,T_Num,O_Cost,SPOT,Trans,SEX,AGE
11010530201_17,1,2,365000,91250,1,100000,32,1,2,17
11010530201_9,1,1,439000,219500,1,200000,11,1,1,28
11010560051_29800,2,0,70002,23334,3,20000,31,1,1,57
11010560051_29803,2,0,74500,26500,3,23333,31,4,2,19
11010560051_29835,2,0,100000,50000,3,30000,11,1,2,36
11010560051_29846,2,1,400000,100000,4,125000,32,1,1,26
1101057036A_66,1,2,794000,681500,1,700000,39,3,2,27
1101057036A_70,1,2,1101000,303750,1,350000,38,1,2,52
1101057036A_83,1,3,365000,185000,1,200000,34,1,2,48
11010580161_58983,3,0,37000,37000,1,40000,31,4,1,49
11010580161_58987,3,0,124000,86500,1,90000,31,1,1,27
11010580161_58998,3,0,86000,53000,1,50000,11,4,2,34
11010630161_85970,4,1,272500,160500,1,150000,35,4,2,50
11010630161_85977,4,0,219000,73000,1,80000,31,1,1,63
11010630161_86013,4,2,544999,390333,1,400000,35,2,1,27
11010630161_86021,4,1,362998,193666,1,200000,34,1,1,49
11010670241_115257,5,0,91000,91000,1,70000,31,1,1,63
11010670241_115260,5,1,110000,110000,1,110000,33,4,2,49
11010670241_115262,5,0,78000,60500,1,60000,31,1,1,28
11010670241_115266,5,1,325000,149000,1,150000,31,1,2,63
11010700261_145599,6,1,392000,380000,1,300000,32,4,1,28
11010700261_145600,6,0,68000,68000,1,80000,31,4,1,19
11010700261_145603,6,0,79000,49000,1,50000,31,1,2,34
11010700261_145619,6,2,533000,408000,1,400000,37,2,1,27
11010700261_145647,6,0,31000,31000,1,30000,31,4,2,19
11010720441_174848,7,2,650000,327500,1,350000,32,1,2,45
11010720441_174869,7,1,331000,158500,1,200000,34,1,2,34
11010720441_174903,7,1,312002,150667,1,150000,31,5,1,27
11010730691_206145,8,1,623000,285500,1,300000,32,1,1,48
11010730691_206146,8,1,276000,137250,1,150000,35,1,2,46
11010730691_206155,8,2,515000,394500,1,400000,36,2,2,29
11010730691_206178,8,1,480000,240000,1,250000,36,1,2,34
11010730691_206189,8,0,134000,84000,1,90000,31,5,1,29
1101073123A_29460,2,0,60000,48750,1,50000,31,4,2,28
1101073123A_29465,2,0,165000,41250,4,25000,31,1,2,56
1101073123A_29469,2,0,110001,36667,3,33333,31,1,2,63
1101073123A_29499,2,0,70000,70000,1,70000,31,1,1,38
11020520161_232705,9,0,150000,37500,4,37500,31,4,2,36
11020520161_232714,9,1,360000,90000,4,100000,32,1,2,27
11020580491_263360,10,0,152000,76000,2,75000,32,1,1,36
11020580491_263370,10,1,628000,157000,4,150000,32,1,2,35
1102067014A_56727,3,1,577000,144250,4,137500,34,1,1,37
1102067014A_56732,3,1,303000,303000,1,300000,21,10,2,28
1102067014A_56734,3,1,618000,154500,4,150000,38,1,2,38
1102067014A_56739,3,0,50000,25000,2,25000,31,4,1,42
11020670481_319951,11,0,519999,173333,3,166667,31,1,2,27
11020670481_319972,11,0,75000,37500,2,30000,31,1,1,57
11020670481_319980,11,0,150000,60000,2,50000,31,1,1,48
11020670481_320010,11,0,490000,245000,2,250000,31,1,2,37
11020690701_290141,12,0,267000,133500,2,125000,31,1,1,37
11020690701_290161,12,0,235000,117500,2,125000,11,1,2,35
11020701301_120,1,0,175000,175000,1,50000,31,1,1,36
11020701301_127,1,1,195000,195000,1,315000,32,1,1,62
11020701301_146,1,1,270000,270000,1,250000,21,1,2,28
1102071057A_86029,4,1,602000,150500,4,150000,31,1,1,45
1102071057A_86031,4,1,652000,130400,5,150000,31,1,1,38
1102071057A_86044,4,1,650000,162500,4,162500,37,1,2,44
